project_id,building_id,designation_id,project_halted,project_general_last_update,building_count,designation_count,gush,helka,X,Y,municipality_id,municipality_name,building_info_last_update,building_street,building_address_number,building_address_entrance,building_migrash,floors_above_ground,building_area,standard_name_id,standard_name,standard_designation_id,standard_designation_name,standard_designation_main_use,main_use_name,route,designation_area,residential_units,designation_info_last_update,certification_status,certificate_date_pre,certificate_insert_date_pre,certificate_score_pre,certificate_stars_pre,certificate_energy_pre,certificate_date_a,certificate_insert_date_a,certificate_score_a,certificate_stars_a,certificate_energy_a,certificate_date_b,certificate_insert_date_b,certificate_score_b,certificate_stars_b,certificate_energy_b,designation_info_status
3780,4204,4892,הבדיקה בוצעה,02/12/2024,1,1,7654,112,187674.91739532625,677303.2090189438,73,רעננה,02/12/2024,"ההגנה 89,90,91,93 רעננה",,,,10,2123,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2123,90,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3782,4206,4894,הבדיקה בוצעה,02/12/2024,1,1,39874,33,160426.42075962157,593371,49,נתיבות,02/12/2024,"רמות מאיר, נתיבות",,,223,7,32446,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,32446,170,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3783,4207,4895,הבדיקה בוצעה,02/12/2024,1,1,6492,"235-236, 2",187190.06302328597,663055.4934980489,1063,קרית אונו,02/12/2024,"וולך ",,,,20,17326,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,17326,305,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3785,4210,4898,הבדיקה בוצעה,02/12/2024,1,1,,,176901,657252,16,בת ים,02/12/2024,"הרב מימון ",25,,,11,2.49,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2.49,128,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3789,4214,4902,הבדיקה בוצעה,02/12/2024,1,1,8252,114,185731.6028923906,690544.4426951281,50,נתניה,02/12/2024,פייר קניג,17,,,18,0.92,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0.92,18,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3790,4215,4903,הבדיקה בוצעה,02/12/2024,1,1,6126,439,182749,665367,71,רמת גן,02/12/2024,קלאוזנר,10,,,9,2700,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2700,26,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3791,4216,4904,הבדיקה בוצעה,02/12/2024,1,1,6632,458,180684.30729828126,670088.3229193125,1216,תל אביב - יפו,02/12/2024,אליהו ברלין,3,,,13,4759,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,4759,41,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3792,4217,4905,הבדיקה בוצעה,02/12/2024,1,1,6712,253,188512.99808621063,665041.1669416894,55,פתח תקווה,02/12/2024,ניר נחום,15,,,10,915,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,915,27,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3794,4219,4907,הבדיקה בוצעה,02/12/2024,1,1,6205,388,182750.66145965626,666266.6380281094,71,רמת גן,02/12/2024,ז'בוטינסקי 103 רמת גן,,,,10,3360,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3360,35,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3796,4223,4911,הבדיקה בוצעה,02/12/2024,1,1,6397,57,189860.33854034374,665411.6770806875,55,פתח תקווה,02/12/2024,אורלנסקי 22,,,,9.5,880,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,880,36,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3798,4225,4913,הבדיקה בוצעה,02/12/2024,1,1,,,182467.6770806875,665676.3307298281,71,רמת גן,02/12/2024,סמטת הבאר 5,,,,8,3038,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3038,17,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3799,4226,4914,הבדיקה בוצעה,02/12/2024,1,1,6167,419,181912.7290004978,665065.4850994772,18,גבעתיים,02/12/2024,בורכוב 34-34 א',,,,8,1303,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1303,32,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3802,4229,4917,הבדיקה בוצעה,02/12/2024,1,1,,,179770,665303,1216,תל אביב - יפו,02/12/2024,שדרות דוד המלך,25,,,7,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,15,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3808,4235,4922,הבדיקה בוצעה,02/12/2024,1,1,6442,82,189746.01861901188,672772.1757468919,20,הוד השרון,02/12/2024,ציר התיכון מגרש 1015,,,1015,7,826,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,826,12,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3809,4236,4923,הבדיקה בוצעה,02/12/2024,1,1,6580,613,188545.8015468456,676857.2318521638,73,רעננה,02/12/2024,חשמונאים 31,,,,7,822,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,822,23,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3810,4237,4924,הבדיקה בוצעה,02/12/2024,1,1,6712,252,188504,665077,55,פתח תקווה,02/12/2024,ניר נחום 18,,,,8.5,741,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,741,19,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3811,4238,4925,הבדיקה בוצעה,02/12/2024,1,1,6415,38,184789.53951614126,672660.1406628418,1216,תל אביב - יפו,02/12/2024,ויצמן 12,,,,6,2084,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2084,43,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3812,4239,4926,הבדיקה בוצעה,02/12/2024,1,1,6396,108,189589,665110,55,פתח תקווה,02/12/2024,ילין 5,,,,9,0.772,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0.772,27,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3814,4241,4928,הבדיקה בוצעה,02/12/2024,2,1,30287,"1,14,15,28",219712.6560382225,627529.3854366756,33,ירושלים,02/12/2024,גבעת המטוס צץחם 68482,,,12-13,9,5.797,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,5.797,126,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3814,4242,4929,הבדיקה בוצעה,02/12/2024,2,1,30287,"108,12,11,",219822.9338750703,627612.0839466315,33,ירושלים,02/12/2024,מתחם 68482,,,8,8,2.579,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2.579,54,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3815,4243,4930,הבדיקה בוצעה,02/12/2024,2,1,2909,173,178431.23206175782,615105.5995522185,1059,קרית גת,02/12/2024,נחל ירקון,147,,78,4,16600,5,2016 סיוון התשע״ו - מאי,50,"גרעין ומעטפת - חדש ",100,גרעין ומעטפת - משרדים,חדש,16600,0,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3815,4244,4931,הבדיקה בוצעה,02/12/2024,2,1,2909,173,178429.9091424453,615119.1594751717,1059,קרית גת,02/12/2024,"נחל ירקון ",147,,78,2,6476,5,2016 סיוון התשע״ו - מאי,20,מסחר - חדש + ג.ת.1,20,מסחר,חדש,6476,0,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3816,4245,4932,הבדיקה בוצעה,02/12/2024,1,1,3850,"40,25,8",181194.44948416253,647492.0171278338,45,נס ציונה,02/12/2024,פארק המדע,,,4002,5,1915,5,2016 סיוון התשע״ו - מאי,50,"גרעין ומעטפת - חדש ",100,גרעין ומעטפת - משרדים,חדש,1915,0,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
3818,4247,4934,הבדיקה בוצעה,02/12/2024,1,1,6957,285,179307.93676250594,666770.4990715566,1216,תל אביב - יפו,02/12/2024,עמוס,,,,6,3616,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3616,12,02/12/2024,התקשרות,,,,,,,,,,,,,,,,לא סופי
