project_id,building_id,designation_id,project_halted,project_general_last_update,building_count,designation_count,gush,helka,X,Y,municipality_id,municipality_name,building_info_last_update,building_street,building_address_number,building_address_entrance,building_migrash,floors_above_ground,building_area,standard_name_id,standard_name,standard_designation_id,standard_designation_name,standard_designation_main_use,main_use_name,route,designation_area,residential_units,designation_info_last_update,certification_status,certificate_date_pre,certificate_insert_date_pre,certificate_score_pre,certificate_stars_pre,certificate_energy_pre,certificate_date_a,certificate_insert_date_a,certificate_score_a,certificate_stars_a,certificate_energy_a,certificate_date_b,certificate_insert_date_b,certificate_score_b,certificate_stars_b,certificate_energy_b,designation_info_status
2,2,2,הבדיקה בוצעה,26/10/2023,1,1,7932,505/449,186427.27642906,689833.47091694,50,נתניה,18/10/2023,"שד בן צבי ",,,,27,32897,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,32897,300,28/08/2023,שלב א,,,,,,31/08/2023,18/10/2023,65.5,2,B,,,,,,לא סופי
52,50,46,הבדיקה בוצעה,26/10/2023,1,1,"6580 ",173,187783.2928209,676647.57566117,73,רעננה,12/01/2022,"מוצקין ","6 ",,,6,1400,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1400,8,08/08/2022,שלב א,,,,,,09/08/2023,16/10/2023,57.5,1,B,,,,,,לא סופי
66,63,59,הבדיקה בוצעה,16/07/2023,1,1,7057,33,177558.77885348,660850.36915773,76,תל אביב - יפו,10/07/2023,"נחל שורק ",5,,2085,2,1500,10,2011 - התשע״א,53,חינוך,30,חינוך,חדש,1500,0,16/07/2023,שלב ב,,,,,,,,,,,11/12/2017,12/09/2023,55,1,A,לא סופי
73,70,66,הבדיקה בוצעה,28/12/2023,1,1,8996,4,176435.08485683,660944.37831183,76,תל אביב - יפו,10/07/2023,טולוז,3,,0,3,1200,10,2011 - התשע״א,53,חינוך,30,חינוך,חדש,1200,0,10/07/2023,שלב ב,,,,,,,,,,,14/11/2017,12/09/2023,55,1,A,לא סופי
81,78,74,הבדיקה בוצעה,27/12/2023,1,1,6212,191,180234.56429431,666950.81774038,76,תל אביב - יפו,10/07/2023,שלומציון המלכה,65,,0,1,1149,10,2011 - התשע״א,53,חינוך,30,חינוך,חדש,1149,0,10/07/2023,שלב ב,,,,,,,,,,,20/04/2017,12/09/2023,55,1,A,לא סופי
107,102,98,הבדיקה בוצעה,13/07/2023,1,1,6523,3007,183245.7478912,674996.287,21,הרצליה,10/07/2023,המסילה,19,,315,0,0,10,2011 - התשע״א,53,חינוך,30,חינוך,חדש,0,0,10/07/2023,שלב ב,,,,,,,,,,,12/11/2017,12/09/2023,55,1,A,לא סופי
129,123,118,הבדיקה בוצעה,16/07/2023,1,1,7121,12+29,175582.7412717,657311.90844975,16,בת ים,08/03/2022,הקוממיות,,,75,33,14276,10,2011 - התשע״א,51,מגורים,10,מגורים,חדש,14276,128,16/07/2023,שלב ב,,,,,,,,,,,01/12/2021,06/03/2022,67.3,2,B,לא סופי
132,126,121,הבדיקה בוצעה,03/10/2023,1,1,3703,295,181911.79956506,644945.6398352,69,רחובות,09/03/2022,לוין אפשטיין,37,,295,9,4505,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,4505,23,05/01/2022,שלב מקדמי,05/01/2022,09/03/2022,56.5,1,C,,,,,,,,,,,לא סופי
135,127,122,הבדיקה בוצעה,25/07/2024,2,1,4042,"94,96,98",190592.88454801,664857.87368582,55,פתח תקווה,30/06/2023,"הנביאים ",17-19,,2016,11,2316,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2316,0,20/12/2022,שלב מקדמי,21/12/2022,01/07/2023,60.5,1,B,,,,,,,,,,,לא סופי
135,128,123,הבדיקה בוצעה,25/07/2024,2,1,4042,"94,96,98",190592.88454801,664857.87368582,55,פתח תקווה,30/06/2023,"הנביאים ",19-21,,2016,11,2745,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2745,0,20/12/2022,שלב מקדמי,21/12/2022,01/07/2023,60.5,1,B,,,,,,,,,,,לא סופי
139,133,128,הבדיקה בוצעה,25/07/2024,2,1,6387,"172,173",189348.5761001,665140.47674267,55,פתח תקווה,01/07/2023,"ברנדה ",40,,,11,3482,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3482,36,05/01/2023,שלב מקדמי,05/01/2023,01/07/2023,58,1,C,,,,,,,,,,,לא סופי
139,134,129,הבדיקה בוצעה,25/07/2024,2,1,6387,"172,173",189348.5761001,665140.47674267,55,פתח תקווה,01/07/2023,"ברנדה ",42,,,11,2877,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2877,36,05/01/2023,שלב מקדמי,05/01/2023,01/07/2023,58,1,C,,,,,,,,,,,לא סופי
140,135,130,הבדיקה בוצעה,25/07/2024,4,1,100212,"74,75",165230.96401405,580587.95000677,2,אופקים,25/07/2024,שחף,8,,1625 / 134,11,3500,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3500,31,15/12/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
140,136,131,הבדיקה בוצעה,25/07/2024,4,1,100212,"74,75",165230.96401405,580587.95000677,2,אופקים,25/07/2024,שחף,8,,1625 / 134,11,0,5,2016 סיוון התשע״ו - מאי,50,"גרעין ומעטפת - חדש ",100,גרעין ומעטפת - משרדים,חדש,0,0,15/12/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
140,137,132,הבדיקה בוצעה,25/07/2024,4,1,100212,"74,75",165230.96401405,580587.95000677,2,אופקים,25/07/2024,שחף,10,,1626 / 135,11,3500,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3500,31,15/12/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
140,138,133,הבדיקה בוצעה,25/07/2024,4,1,100212,"74,75",165230.96401405,580587.95000677,2,אופקים,25/07/2024,שחף,10,,1626 / 135,11,0,5,2016 סיוון התשע״ו - מאי,50,"גרעין ומעטפת - חדש ",100,גרעין ומעטפת - משרדים,חדש,0,0,15/12/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
141,139,134,הבדיקה בוצעה,25/07/2024,2,1,3850,"98 ,49",181082.6635971,647857.8896995,45,נס ציונה,30/06/2023,העבודה,8,,98,6,3068,5,2016 סיוון התשע״ו - מאי,50,"גרעין ומעטפת - חדש ",100,גרעין ומעטפת - משרדים,חדש,3068,0,30/11/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
143,142,136,הבדיקה בוצעה,25/07/2024,1,1,6973,213,179126.7317543,662230.64583863,76,תל אביב - יפו,17/11/2022,מסילת ישרים,76,,,5,150,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,150,12,26/11/2022,שלב מקדמי,26/11/2022,30/06/2023,67,2,B,,,,,,,,,,,לא סופי
144,143,137,הבדיקה בוצעה,25/07/2024,1,1,6217,316,179670.98032507,665575.69589292,76,תל אביב - יפו,25/06/2023,"רמברנדט ",18,,2268,8,2261,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2261,20,23/10/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
145,144,138,הבדיקה בוצעה,05/12/2024,2,1,7136,367,176390.21841722,658460.44562061,16,בת ים,27/07/2022,"פנקס ",7,,,5,1203,5,2016 סיוון התשע״ו - מאי,22,מגורים - תוספת,10,מגורים,תוספת,1203,16,26/07/2022,שלב מקדמי,26/07/2022,27/07/2022,59,1,C,,,,,,,,,,,לא סופי
145,145,139,הבדיקה בוצעה,05/12/2024,2,1,7136,367,176390.21841722,658460.44562061,16,בת ים,20/06/2023,"מנדלי ",8,,,5,1237,5,2016 סיוון התשע״ו - מאי,22,מגורים - תוספת,10,מגורים,תוספת,1237,16,26/07/2022,שלב מקדמי,26/07/2022,27/07/2022,59,1,C,,,,,,,,,,,לא סופי
146,146,140,הבדיקה בוצעה,12/11/2024,1,1,7145,65,175907.10135845,659271.06160359,16,בת ים,18/12/2022,הרצל 33 בת ים,33,,,10,2978,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2978,41,14/07/2024,שלב מקדמי,15/02/2021,04/06/2023,59,1,C,,,,,,,,,,,לא סופי
148,148,142,הבדיקה בוצעה,09/12/2024,3,1,10756,13,197124.76274376,745689.3911989,24,חיפה,25/07/2024,שלמה המלך,6,,101,21,1250,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1250,125,21/09/2021,שלב מקדמי,19/09/2021,30/09/2021,64,1,C,,,,,,,,,,,לא סופי
148,149,143,הבדיקה בוצעה,09/12/2024,3,1,10756,13,197124.76274376,745689.3911989,24,חיפה,30/09/2021,שלמה המלך,,,101,22,1240,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1240,124,21/09/2021,שלב מקדמי,19/09/2021,30/09/2021,64,1,C,,,,,,,,,,,לא סופי
148,150,144,הבדיקה בוצעה,09/12/2024,3,1,10756,13,197124.76274376,745689.3911989,24,חיפה,30/09/2021,שלמה המלך,,,101,21,1190,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1190,119,21/09/2021,שלב מקדמי,19/09/2021,30/09/2021,64,1,C,,,,,,,,,,,לא סופי
149,151,145,הבדיקה בוצעה,25/07/2024,1,1,6168,482,180853.29191153,663090.33485658,76,תל אביב - יפו,08/06/2023,יד לבנים,12,,,8,6952,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,6952,76,04/11/2021,התקשרות,,,,,,,,,,,,,,,,לא סופי
150,152,146,הבדיקה בוצעה,26/11/2024,1,1,7150,285,176789,659096,16,בת ים,15/06/2021,האתרוג,3,,2305,7,2879,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2879,27,15/06/2021,שלב א,03/10/2020,30/06/2022,44.5,1,B,16/12/2020,30/06/2022,45.5,1,B,,,,,,לא סופי
151,153,147,הבדיקה בוצעה,15/09/2024,1,1,3704,268,182758.84825703,644613.57540708,69,רחובות,04/11/2022,הרואה,17,,268,7,2557,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2557,13,17/02/2021,התקשרות,,,,,,,,,,,,,,,,לא סופי
152,154,148,הבדיקה בוצעה,13/11/2024,1,1,6108,154,180643.5219641,665879.90962688,76,תל אביב - יפו,14/06/2021,"ליסין ",23,,2230,9,4122,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,4122,17,14/06/2021,שלב א,,,,,,14/06/2021,23/08/2023,59,1,B,,,,,,לא סופי
153,155,149,הבדיקה בוצעה,25/07/2024,1,1,6418,213,185223.64266468,672161.70672225,72,רמת השרון,30/06/2023,הקוצר,6,,142/1,8,2722,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2722,28,12/12/2022,שלב מקדמי,12/12/2022,30/06/2023,57,1,C,,,,,,,,,,,לא סופי
154,156,150,הבדיקה בוצעה,25/07/2024,1,1,38616,2,179375.33583851,575823.65280747,11,באר שבע,28/03/2022,הצדיק מירושלים,2,,,2,32934,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,32934,34,28/03/2022,שלב מקדמי,28/03/2022,29/03/2022,58,1,A,,,,,,,,,,,לא סופי
155,157,151,הבדיקה בוצעה,27/11/2024,5,1,לא מוסדר,לא מוסדר,228520.89520999,632156.3786667,42,מעלה אדומים,20/07/2023,הגיתית,,,504,5,2328,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2328,10,24/11/2021,שלב מקדמי,24/11/2021,20/07/2023,67.5,2,B,,,,,,,,,,,לא סופי
157,161,152,הבדיקה בוצעה,25/07/2024,1,1,6909,35,178115,664643,76,תל אביב - יפו,17/11/2022,"הירקון ",56,,,7,2800,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2800,23,23/11/2022,שלב מקדמי,23/11/2022,30/06/2023,64,1,B,,,,,,,,,,,לא סופי
158,162,153,הבדיקה בוצעה,03/07/2023,2,1,6490,357,186907.39255567,662374.40101084,58,קרית אונו,15/06/2021,שלמה המלךA,8-12,,101,12,12328,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,12328,45,15/06/2021,התקשרות,,,,,,,,,,,,,,,,לא סופי
158,163,154,הבדיקה בוצעה,03/07/2023,2,1,6490,358,186907.39255567,662374.40101084,58,קרית אונו,15/06/2021,שלמה המלךB,14-18,,101,12,6687,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,6687,45,15/06/2021,התקשרות,,,,,,,,,,,,,,,,לא סופי
161,166,157,הבדיקה בוצעה,03/07/2023,1,1,6158,1399,183726.60071348,664938.66234091,71,רמת גן,27/06/2022,ברקאי,9,,,9,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,27,26/05/2022,שלב מקדמי,26/05/2022,27/06/2022,58.5,1,B,,,,,,,,,,,לא סופי
162,167,158,הבדיקה בוצעה,25/07/2024,1,1,6133,763,181041.35401427,663199.6217988,76,תל אביב - יפו,27/06/2022,המערכה,34-36,,,7,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,36,30/05/2022,שלב מקדמי,30/05/2022,27/06/2022,57.5,1,B,,,,,,,,,,,לא סופי
163,168,159,הבדיקה בוצעה,24/10/2023,1,1,6214,469,179452.87475147,666248.03598322,76,תל אביב - יפו,12/01/2022,יהושע בן נון,30,,,7,3958,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3958,25,01/07/2023,שלב א,,,,,,25/07/2023,18/10/2023,60.5,1,B,,,,,,לא סופי
164,169,160,הבדיקה בוצעה,25/07/2024,1,1,30688,63,223293.83716015,636161.76079959,33,ירושלים,30/06/2023,יוספטל גיורא,4,,1,6,9704,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,9704,270,25/01/2023,שלב מקדמי,25/01/2023,30/06/2023,56.5,1,C,,,,,,,,,,,לא סופי
165,170,161,הבדיקה בוצעה,25/07/2024,1,1,7147,62,176159.98167532,659706.14482913,16,בת ים,30/06/2023,"רמב""ם",11,,23,7,3028,5,2016 סיוון התשע״ו - מאי,23,מגורים - שיפוץ נרחב,10,מגורים,שיפוץ,3028,36,29/01/2023,שלב א,03/12/2019,30/06/2023,57,1,B,29/01/2023,30/06/2023,43,1,B,,,,,,לא סופי
166,171,162,הבדיקה בוצעה,25/07/2024,1,1,7150,280,176745.05038735,659125.77349505,16,בת ים,30/06/2023,"בית וגן ",4,,2305,3.5,1114,5,2016 סיוון התשע״ו - מאי,22,מגורים - תוספת,10,מגורים,תוספת,1114,14,07/12/2022,שלב מקדמי,07/12/2022,30/06/2023,60,1,B,,,,,,,,,,,לא סופי
167,172,163,הבדיקה בוצעה,25/07/2024,2,1,6526,316,185174.19370134,675968.68716958,21,הרצליה,01/07/2023,דורי,7,,,7,1531,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1531,12,19/03/2023,שלב א,,,,,,21/03/2023,01/07/2023,57,1,B,,,,,,לא סופי
167,173,164,הבדיקה בוצעה,25/07/2024,2,1,6526,316,185174.19370134,675968.68716958,21,הרצליה,01/07/2023,"דורי ",9,,,7,1531,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1531,12,19/03/2023,שלב א,,,,,,21/03/2023,01/07/2023,57,1,B,,,,,,לא סופי
168,174,165,הבדיקה בוצעה,25/07/2024,1,1,2879,"1,2",160749.80034125,620255.28034146,9,אשקלון,28/06/2023,אנה פרנק,16,,145,7,2000,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2000,16,21/02/2023,התקשרות,,,,,,,,,,,,,,,,לא סופי
170,176,167,הבדיקה בוצעה,05/12/2024,1,1,6933,"24, 25",178640.62056225,664204.38067725,76,תל אביב - יפו,25/07/2024,בעלי המלאכה,7,,611696,0,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,0,26/01/2021,התקשרות,,,,,,,,,,,,,,,,לא סופי
171,177,168,הבדיקה בוצעה,01/07/2023,1,1,6164,196,181692.56310441,663578.40041339,76,תל אביב - יפו,04/01/2022,גונן,8,,2095,9,7750,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,7750,44,08/06/2021,שלב מקדמי,28/02/2021,04/01/2022,60.5,1,B,,,,,,,,,,,לא סופי
174,180,171,הבדיקה בוצעה,01/07/2023,1,1,6213,758,179940.33072983,666459.74737533,76,תל אביב - יפו,09/11/2022,פנקס,24,,,9,2118,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2118,29,17/05/2023,שלב א,,,,,,17/05/2023,29/06/2023,55,1,B,,,,,,לא סופי
175,181,172,הבדיקה בוצעה,01/07/2023,1,1,6802,"6,7",182210.101524,656808.52210394,23,חולון,07/11/2022,הכישור,55,,6802,7,0,5,2016 סיוון התשע״ו - מאי,50,"גרעין ומעטפת - חדש ",100,גרעין ומעטפת - משרדים,חדש,0,0,24/11/2022,שלב מקדמי,24/11/2022,29/06/2023,57,1,B,,,,,,,,,,,לא סופי
176,182,173,הבדיקה בוצעה,01/07/2023,1,1,621,309,180077.63021759,665989.63021759,76,תל אביב - יפו,24/10/2022,מטמון הכהן,9,,,8,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,27,21/11/2022,שלב מקדמי,21/11/2022,29/06/2023,60.5,1,B,,,,,,,,,,,לא סופי
177,183,174,הבדיקה בוצעה,01/07/2023,1,1,6946,33,179370.0157334,662761.65343862,76,תל אביב - יפו,17/11/2022,"הגדוד העברי ",55,,,7,1183,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1183,21,19/10/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
178,184,175,הבדיקה בוצעה,01/07/2023,1,1,12517,23,199448.87504034,745225.61156673,24,חיפה,04/11/2022,וודג'ווד,42,,42,10,2293,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2293,25,13/11/2022,שלב מקדמי,25/07/2022,29/06/2023,56,1,B,,,,,,,,,,,לא סופי
179,185,176,הבדיקה בוצעה,01/07/2023,1,1,11194,"138, 139",200958.82402468,742329.53619445,24,חיפה,23/10/2022,זלמן שניאור,15-17,,"138, 139",9,3458,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3458,39,24/10/2022,שלב מקדמי,24/10/2022,29/06/2023,55.5,1,C,,,,,,,,,,,לא סופי
180,186,177,הבדיקה בוצעה,01/07/2023,3,1,39869,"70, 71, 23",204665.32812375,553494.44324763,19,דימונה,29/06/2023,הרבי מליובאוויטש,22,,505,8,3630,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3630,36,29/11/2022,שלב מקדמי,29/11/2022,29/06/2023,55,1,C,,,,,,,,,,,לא סופי
180,187,178,הבדיקה בוצעה,01/07/2023,3,1,39869,"70, 71, 23",204665.32812375,553494.44324763,19,דימונה,29/06/2023,הרבי מליובאוויטש,24,,506,8,3702,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3702,36,29/11/2022,שלב מקדמי,29/11/2022,29/06/2023,55,1,C,,,,,,,,,,,לא סופי
180,188,179,הבדיקה בוצעה,01/07/2023,3,1,39869,"70, 71, 23",204665.32812375,553494.44324763,19,דימונה,29/06/2023,הרבי מליובאוויטש,26,,507,8,3702,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3702,36,29/11/2022,שלב מקדמי,29/11/2022,29/06/2023,55,1,C,,,,,,,,,,,לא סופי
181,189,180,הבדיקה בוצעה,01/07/2023,3,1,39869,"23, 67-71",204755.12127209,553503.04222316,19,דימונה,05/12/2022,,,,502,9,4118,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,4118,40,25/12/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
181,190,181,הבדיקה בוצעה,01/07/2023,3,1,39869,"23, 67-71",204755.12127209,553503.04222316,19,דימונה,05/12/2022,,,,503,9,4118,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,4118,40,25/12/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
181,191,182,הבדיקה בוצעה,01/07/2023,3,1,39869,"23, 67-71",204755.12127209,553503.04222316,19,דימונה,05/12/2022,,,,504,9,4118,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,4118,40,25/12/2022,התקשרות,,,,,,,,,,,,,,,,לא סופי
182,192,183,הבדיקה בוצעה,01/07/2023,2,1,6373,"783,784",188133.7734363,666315.3211529,55,פתח תקווה,29/06/2023,חן,8,,,10,3949,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3949,52,18/10/2022,שלב מקדמי,18/10/2022,29/06/2023,57.5,1,C,,,,,,,,,,,לא סופי
182,193,184,הבדיקה בוצעה,01/07/2023,2,1,6373,"783,784",188133.7734363,666315.3211529,55,פתח תקווה,29/06/2023,חן,10,,,10,3955,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3955,52,18/10/2022,שלב מקדמי,18/10/2022,29/06/2023,57.5,1,C,,,,,,,,,,,לא סופי
183,194,185,הבדיקה בוצעה,01/07/2023,2,1,6386,40,189286,664937,55,פתח תקווה,29/06/2023,רוטשילד,170,,2005,10,4117,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,4117,45,09/01/2023,שלב מקדמי,09/01/2023,29/06/2023,57,1,C,,,,,,,,,,,לא סופי
183,195,186,הבדיקה בוצעה,01/07/2023,2,1,6386,40,189286,664937,55,פתח תקווה,29/06/2023,רוטשילד,172,,2005,10,4142,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,4142,45,09/01/2023,שלב מקדמי,09/01/2023,29/06/2023,57,1,C,,,,,,,,,,,לא סופי
184,196,187,הבדיקה בוצעה,01/07/2023,1,1,7154,"176,177",176256.77907078,658054.28552832,16,בת ים,29/06/2023,גבעתי,7,,159,9,4501,5,2016 סיוון התשע״ו - מאי,23,מגורים - שיפוץ נרחב,10,מגורים,שיפוץ,4501,60,24/10/2022,שלב א,,,,,,24/10/2022,29/06/2023,42.5,1,C,,,,,,לא סופי
185,197,188,הבדיקה בוצעה,01/07/2023,1,1,7093,375,181092.10269717,664685.5907278,76,תל אביב - יפו,29/06/2023,"נחלת יצחק ",19,,2090,10,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,25,10/11/2022,שלב מקדמי,10/11/2022,29/06/2023,59,1,B,,,,,,,,,,,לא סופי
186,198,189,הבדיקה בוצעה,01/07/2023,2,1,6217,"342, 343",180066.28386673,665564.75518584,76,תל אביב - יפו,03/11/2022,נהרדעא,11,,,8,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,19,09/11/2022,שלב מקדמי,09/11/2022,29/06/2023,60,1,C,,,,,,,,,,,לא סופי
186,199,190,הבדיקה בוצעה,01/07/2023,2,1,6217,"342, 343",180066.28386673,665564.75518584,76,תל אביב - יפו,03/11/2022,"נהרדעא ",13,,,8,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,19,09/11/2022,שלב מקדמי,09/11/2022,29/06/2023,59.5,1,C,,,,,,,,,,,לא סופי
187,200,191,הבדיקה בוצעה,01/07/2023,1,1,6217,81,179789.54696845,665427.69429484,76,תל אביב - יפו,29/06/2023,"גליצנשטיין ",5,,2267,7,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,13,18/10/2022,שלב מקדמי,18/10/2022,29/06/2023,60,1,B,,,,,,,,,,,לא סופי
188,201,192,הבדיקה בוצעה,01/07/2023,1,1,6968,11,178393.92697452,665711.45420627,76,תל אביב - יפו,28/06/2023,"הירקון ",152,,2273,7,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,16,11/10/2022,שלב מקדמי,11/10/2022,28/06/2023,64,1,B,,,,,,,,,,,לא סופי
190,203,194,הבדיקה בוצעה,01/07/2023,4,1,6212,987,179776.65865888,666653.76048781,76,תל אביב - יפו,21/09/2022,"מרים החשמונאית ",10,,2223,8,3577,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3577,30,26/01/2023,שלב מקדמי,02/10/2019,28/06/2023,59.5,1,B,,,,,,,,,,,לא סופי
190,204,195,הבדיקה בוצעה,01/07/2023,4,1,6212,987,179776.65865888,666653.76048781,76,תל אביב - יפו,21/09/2022,מרים החשמונאית,12,,2223,8,3620,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3620,30,26/01/2023,שלב מקדמי,02/10/2019,28/06/2023,59.5,1,B,,,,,,,,,,,לא סופי
190,205,196,הבדיקה בוצעה,01/07/2023,4,1,6212,987,179776.65865888,666653.76048781,76,תל אביב - יפו,21/09/2022,מרים החשמונאית,14,,2223,8,2297,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,2297,28,26/01/2023,שלב מקדמי,02/10/2019,28/06/2023,59.5,1,B,,,,,,,,,,,לא סופי
190,206,197,הבדיקה בוצעה,01/07/2023,4,1,6212,987,179776.65865888,666653.76048781,76,תל אביב - יפו,21/09/2022,אנטיגונוס,2,,2223,8,1686,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1686,16,26/01/2023,שלב מקדמי,02/10/2019,28/06/2023,59.5,1,B,,,,,,,,,,,לא סופי
191,207,198,הבדיקה בוצעה,11/12/2024,1,1,7228,60,178271.83222316,663689.41821254,76,תל אביב - יפו,28/06/2023,"מוהליבר ",21,,2350,7,704,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,704,10,20/06/2023,שלב א,02/01/2022,28/06/2023,66.5,2,B,20/06/2023,28/06/2023,58,1,B,,,,,,לא סופי
192,208,199,הבדיקה בוצעה,01/07/2023,1,1,6212,345,180152.00587766,666635.7616544,76,תל אביב - יפו,04/09/2022,שטריקר,24-26,,,5,0,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,0,8,13/09/2022,שלב מקדמי,13/09/2022,28/06/2023,64.5,1,B,,,,,,,,,,,לא סופי
193,209,200,הבדיקה בוצעה,01/07/2023,1,1,3701,673,182069.03113769,644346.26437452,69,רחובות,29/09/2022,בני משה,3,,673,9,1662,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,1662,15,19/11/2022,שלב מקדמי,19/11/2022,28/06/2023,58,1,C,,,,,,,,,,,לא סופי
194,210,201,הבדיקה בוצעה,01/07/2023,1,1,643,87,192036.24072931,675488.53213074,35,כפר סבא,28/06/2023,תל-חי,22,,14/2,10,3172,5,2016 סיוון התשע״ו - מאי,11,מגורים - חדש,10,מגורים,חדש,3172,45,15/06/2023,שלב מקדמי,15/06/2023,28/06/2023,63.5,1,B,,,,,,,,,,,לא סופי
